Supplier,Product Code,Product Name,Case Size,Ingredients,,,,,
Harvey & Brockless,EC365,BURGER SLICES KERRY (112) 1.4KG,,"cheese, vegetable oil (palm), modified potato starch, emulsifying starch E331,  preservative : sorbic acid (E200), natural colours: beta carotene, paprika extract,",,,,,
Harvey & Brockless,EC369,BOWLAND 1.5KG,,"
Lancashire Cheese (76.03%) contains [Pasteurised Whole Cow�s Milk, Starter Culture, Microbial Rennet, Salt], Raisins (19.01%), Diced Apple (3.8%) contains Preservative [Sulphur dioxide (E220)], 
Water (0.95%), Cinnamon Oil (0.19%), 
Ground Cinnamon (0.02%)",,,,,
Harvey & Brockless,EC379,CAERPHILLY DUCKETTS 2KG,,"pasteurised cows milk, lactic acid starter cultures, vegetarian rennet, salt",,,,,
Harvey & Brockless,EC422,CHEDDAR VINTAGE QUICKES 24 MNT 1/4 6KG,,"Pasteurised Cow's milk, Salt, Starter Culture, Animal Rennet",,,,,
Harvey & Brockless,EC427,CHEDDAR MATURE QUICKES 12MNTH 3KG,,"Pasteurised Cow's milk, Salt, Starter Culture, Animal Rennet",,,,,
Harvey & Brockless,EC433,CHEDDAR MATURE QUICKES 12MNTH 26KG,,"Pasteurised Whole Cow�s Milk (>99%), Salt (0.31%), Starter Culture (0.01%), Animal Rennet (0.001%), Lard used in rind",,,,,
Harvey & Brockless,EC449,CHEDDAR SMOKED BLOCK 2.5KG,,"Pasteurised Cow's Milk, Salt, Starter Culture, Microbial Rennet,",,,,,
Harvey & Brockless,EC457,CHESHIRE APPLEBY COLOURED WHOLE 8KG,,"unpasteurised cows milk, starter culture, milk powder, animal rennet, salt, annatto norbixin E160b (ii), cellulose,",,,,,
Harvey & Brockless,EC462,CHEDDAR CAVE AGED WOOKEY HOLE 3.3KG,,"Pasteurised Cow's Milk, Salt contains anti-caking agent [Sodium Ferrocyanide (E535)], Microbial rennet, Starter Culture, Pork Lard  Rind,",,,,,
Harvey & Brockless,EC473,BRIE CORNISH ORGANIC 1KG,,"Pasteurised cow's milk, Salt, Mould culture, Vegetarian rennet,Calcium chloride, Starter Culture",,,,,
Harvey & Brockless,EC477,YARG CORNISH WILD GARLIC BABY 1KG,,"Pasteurised Cow's Milk, Salt, Wild Garlic Leaves,Starter Culture, Vegetarian Rennet, Calcium Chloride, Penicillin Candidum",,,,,
Harvey & Brockless,EC482,KERN CORNISH 3.5KG,,"Pasteurised Cows Milk, Salt, Starter Culture, Animal Rennet, Calcium Chloride,",,,,,
Harvey & Brockless,EC485,BRIE COTSWOLD ROUND ORGANIC 240G,,"Pasteurised Cow�s Milk , Vegetarian Rennet, Lactic Starter, Penicillium Candidum, Salt
",,,,,
Harvey & Brockless,EC527,ELMHIRST 1KG,,"unpasteurised cows milk, cream, salt, lactic culture ",,,,,
Harvey & Brockless,EC545,SAGE DERBY FOWLERS 1.5KG,,"pasteurised cows milk, salt, cultures, vegetarian rennet, sage",,,,,
Harvey & Brockless,EC553,GODMINSTER ORGANIC 1KG,,"pasteurised cows milk, salt,  starter culture, vegetarian rennet",,,,,
Harvey & Brockless,EC555,GOOSNARGH GOLD 1.7KG,,"Pasteurised Cow�s Milk, Salt, Skimmed Milk Powder, Vegetarian Rennet, Colour: Annatto: E160b(ii), Lactic Culture,
",,,,,
Harvey & Brockless,EC565,WENSLEYDALE 1/2 MOON 2KG,,"pasteurised cow's milk, Salt, Starter Culture, Vegetarian Rennet.",,,,,
Harvey & Brockless,EC587,INNKEEPERS CHOICE 1KG,,"Mature Cheddar Cheese (Pasteurised Cow's Milk, Salt , Starter Culture, Microbial Rennet), Pickled Onion (Onion (55%), Salt, Sodium metabisulphite, Water, Spirit Vinegar, Acetic Acid), Dried Chives, Water",,,,,
Harvey & Brockless,EC618,LANCASHIRE SINGLETONS WHOLE 2.25KG,,"pasteurised cows milk, salt, starter cultures, microbial rennet,",,,,,
Harvey & Brockless,EC623,KIRKHAMS LANCASHIRE CREAMY TRUCKLE 1.2KG,,"unpasteurised cows milk, lactic starter cultures, animal rennet, salt",,,,,
Harvey & Brockless,EC628,LANCASHIRE TASTY BUTLERS 1.25KG,,"Pasteurised Cow's Milk, Starter Culture, microbial rennet, salt contains anti-caking agent [sodium  hexacyanoferrate (E535)], milk powder,",,,,,
