"SupplierDB","MainDB"
"red pepper's","Pepper, sweet, red, raw"
"raspberry preparation","Raspberry, raw"
"prunes - dried","Prune, dried plum"
"stabilisers (e412)","Apple pectin"
"pasteurized sheeps milk","Goat milk"
"nameko mushrooms","Mushroom, raw"
"bell pepper","Pepper, sweet, red, raw"
"guerande fleur de sel","Salt, table"
"sea salt preservative (sodium metabisulphite).","Salt, table"
"colour (b-caratone)","Apple pectin"
"camembert cheese (cows milk)","Cheese, Brie, 45 % fidm."
"wheat leaven","Wheat, flour, wholemeal"
"penicillium roqueforti (trace)","Apple pectin"
"stabiliser [modified maize starch]","Starch (corn)"
"e 301","Apple pectin"
"confectioners butter (milk)","Butter, salt added"
"oleoresin paprika","Paprika (powder)"
"dried dates","Dates"
"pasteurised cows milk & cream","Milk, whole, 3.5 % fat"
"rye leaven","Rye flour, dark, whole meal"
"acidity regulator .","Apple pectin"
"starter / ripening cultures","Yeast, bakers, compressed"
"fresh coriander 6mm","Coriander, dried"
"preservative(potassium sorbate)","Apple pectin"
"egg white.","Eggs, chicken, free-range hens (indoor), raw"
"garlic in brine","Garlic, raw"
"niacine","Apple pectin"
"concentrate grape must","Grape, raw"
"dark chocolate chunks","Chocolate, dark"
"humectant (vegetable glycerol)","Vegetable fat"
"anchovy (fish) paste","Anchovies"
"buttermilk wafers contains","Buttermilk"
"bbq spice mix","Spices"
"black salt","Salt, table"
"rye flour type 130","Rye flour, dark, whole meal"
"rice bran oil","Basmati rice"
"tor pyramid (milk)","Milk, whole, 3.5 % fat"
"salt   starter culture vegetarian rennet","Vegetable fat"
"spice extract (nutmeg)","Nutmeg"
"gooseberry yogurt- milk","Yogurt plain, whole milk"
"cheddar style cheese (raw milk).","Cheese, firm, Danbo, 45 % fidm."
"ambert (milk)","Milk, whole, 3.5 % fat"
"starches","Starch (potato)"
"raising agent sodium hydrogen carbonate.","Baking powder"
"koji","Apple pectin"
"mono & di glycerides of fatty acids. stabiliser","Apple pectin"
"chicken liver","Chicken, sausage"
"dried red chilli","Pepper, hot chili, raw"
"[sodium bicarbonate (e500)]","Baking powder"
"black pepper ground","Pepper, black"
"apple cider vinegar contains sulphites","Apple cider vinegar"
". xanthan gumcaution! although extra care has been taken to remove all bones","Apple pectin"
"ascorbic acid (e300)","Apple pectin"
"ground clove ht","Cloves"
"brilliant blue","Apple pectin"
"honey (1.90)","Honey"
"alpha amylases and hmycellulases.","Apple pectin"
"pickled onions","Onion, raw"
"almonds.","Almonds"
"colour (e100).","Apple pectin"
"whisky (natural colour (caramel))","Apple pectin"
"beef protein","Beef, rump, raw"
"preservative [sorbic acid (e200)]","Apple pectin"
"preservative [nitrite salt].","Salt, table"
"lactic acid starter culture","Yeast, bakers, compressed"
"starter culture (microbial)","Yeast, bakers, compressed"
"black beans (soya)","Beans, soy, dried, raw"
"godminster heart organic (pasteurised cow's milk)","Cheese, firm, Danbo, 45 % fidm."
"organic white pepper","Pepper, black"
"smoked chipotle chillies.","Pepper, hot chili, raw"
"b-lc-78 culture)","Yeast, bakers, compressed"
"titanium dioxide (e171)","Apple pectin"
"ground nutmeg ht","Nutmeg"
"mono and diglycerides of fatty acids","Apple pectin"
"stabilising agent [starch-pectin]","Apple pectin"
"trout (fish)","Trout, raw"
"rapeseed oil  water","Rapeseed oil"
"ground caraway seed ht","Cardamom"
"firming agent [calcium chloride (e509)]","Apple pectin"
"salt contains anti-caking agent [sodium ferrocyanide (e535)]","Salt, table"
"yeast powder","Yeast, bakers, compressed"
"ground carroway seed","Fennel seeds"
"alphonso mango","Mango, raw"
"e412","Apple pectin"
"fructose syrup","Syrup, kitchen"
"bresse bleu cheese","Cheese, Danish Blue, 50 % fidm."
"processing aid","Apple pectin"
"quince pulp","Quince"
"flavour enhancer [sodium ribonucleotides]","Baking powder"
"seville oranges","Orange, raw"
"malted barley and hops extracts","Barley malt extract"
"lancashire cheese  contains","Cheese, firm, Danbo, 45 % fidm."
"frozen basil","Basil, fresh"
"oak smoke","Paprika (powder)"
"titanium dioxide","Apple pectin"
"stabaliser","Apple pectin"
"dill tips","Dill, dried"
"salt sea coarse","Salt, table"
"sodium ascorbate e301","Apple pectin"
"cheddar style cheese ( raw milk ). cashel blue","Sundried tomatoes"
"sundried tomatoes contains","Sundried tomatoes"
"colour [cochineal (e120)]","Apple pectin"
"alpha-amylases","Apple pectin"
"sodium bicarbonate; stabiliser","Baking powder"
"ogleshield","Apple pectin"
"unpasteurised cows milk whey","Whey powder"
"raising agent e503","Apple pectin"
"pinto beans","White beans"
"lactic starters (trace)","Yeast, bakers, compressed"
"potassium nitrate.","Apple pectin"
"natural flavourings","Apple pectin"
"dijon mustard  contains water","Mustard, yellow, ready made"
"ground cardamom.","Cardamom"
"preservative potassium sorbate","Apple pectin"
"bleu auve 1/2st flour","Wheat, flour, wholemeal"
"calcium carbonte","Apple pectin"
"sucrose acetate isobutyrate","Sugar, white"
"caramel pieces","Chocolate (white)"
"garlic granulate","Garlic, raw"
"stabilizer ( d-sorbitol)","Apple pectin"
"smoke seasoning","Paprika (powder)"
"green bell chillies","Pepper, hot chili, raw"
"shitake mushrooms","Mushroom, raw"
"organic caraway seeds","Cardamom"
"coastal cheddar","Cheese, firm, Danbo, 45 % fidm."
"malted wheat grains","Wheat, flour, wholemeal"
"red split lentils","Red lentils, dried"
"emulsifier e450","Apple pectin"
"ripened cultures","Yeast, bakers, compressed"
"citric acid e330","Apple pectin"
"dried milk","Milk powder"
"chicken jus","Chicken, sausage"
"gluten free wholegrain crackers","Gluten (wheat)"
"husks of mustard seeds","Mustard, yellow, ready made"
"roasted beetroot","Beet, red, raw"
"microbial rennet - less than","Animal fat"
"ground ginger ht","Ginger root, raw"
"fungic ferments  microbial rennet","Vegetable fat"
"eggplant","Eggs, chicken, free-range hens (indoor), raw"
"fresh cheese","Cheese, firm, Danbo, 45 % fidm."
"citrus","Lemon juice"
"anti-oxidants (ascorbate soda)","Apple pectin"
"feta cheese","Cheese, semihard, Feta, 40 % fidm"
"yorkshire blue cheese (milk)","Cheese, Danish Blue, 50 % fidm."
"passion puree  11","Passion fruit"
"essential oil of almonds","Hazelnut oil"
"red kidney beans","Kidney beans"
"goat curd (milk)","Curd"
"acacia honey","Honey"
"cocoa mass from ecuador","Cocoa, powder"
"powder skim milk","Milk powder"
"grapefruit juice from concentrate","Grapefruit juice"
"emulisfiers","Apple pectin"
"penecillin roquefort","Raclette"
"lentil protein","Red lentils, dried"
"cyclamic acid and its sodium and calcium salts","Salt, table"
"veal paste","Veal, medium fat, raw"
"vitamin e","Apple pectin"
"antioxidant [ascorbic acid]","Apple pectin"
"cheese(milk)","Milk, whole, 3.5 % fat"
"vegetable & fruit concentrates","Fruit juice, mixed, sweetened, concentrated"
"charcoal.","Apple pectin"
"anti -caking agent","Apple pectin"
"paprika smoked","Paprika (powder)"
"anchovy (fish) - engraulis ringens","Anchovies"
"original biscuit","Biscuit, wholemeal, digestive type"
"kirsch brandy","Brandy, cognac"
"ground rosemary ht.","Rosemary, dried"
"dehydrated mango","Mango, raw"
"vegetable powder","Vegetable fat"
"black onion seeds","Onion, raw"
"white stilton cheese","Cheese, Danish Blue, 50 % fidm."
"free range pasteurised egg yolk","Eggs, chicken, free-range hens (indoor), raw"
"thyme.","Thyme, dried"
"starters milk","Milk, whole, 3.5 % fat"
"sg38 bacterial culture","Yeast, bakers, compressed"
"rennet. barbers cheddar mature","Cheese, firm, Danbo, 45 % fidm."
"cheese powder (milk)","Milk powder"
"halkidiki olives","Olives, black, without stones, in brine"
"locust bean gum. ground vanilla pod","Apple pectin"
"blue berries","Blueberries, raw"
"acorn fed iberico tenderloin","Air-dried meat"
"violet flavoring","Apple pectin"
"worcester style sauce","Tomato ketchup, bottled"
"wholemel wheat flour","Wheat, flour, wholemeal"
"cocoa beans from madagascar","Cocoa, powder"
"vitamins .","Apple pectin"
"south west pork leg","Pork, loin, lean, raw"
"sundried tomato paste","Tomato paste, concentrated"
"cider (sulphites)","Cider 4.5%"
"snowdownia black bomber cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"crushed chilli.","Pepper, hot chili, raw"
"monopropylene glycol","Apple pectin"
"lactic acid; antioxidant","Apple pectin"
"antioxidant [extract of rosemary (e392)].","Apple pectin"
"organic turmeric","Tamarind"
"flour treatment agents","Wheat, flour, wholemeal"
"cocoa butter; whole milk powder","cocoa butter"
"king peter ham sliced","Pork, ham, boiled, sliced"
"lactose (milk)","Milk, whole, 3.5 % fat"
"brown rice flour","Rice flour"
"milk acid bacteria","Apple pectin"
"onion - white sliced","Onion, raw"
"plant based coconut & mango sauce","Desiccated coconut"
"honey mushrooms","Mushroom, raw"
"refined pomace olive oil","Olive oil"
"sodium hexacynoferrate (e535)","Apple pectin"
"organically grown hulled soya beans","Beans, soy, dried, raw"
"preservative e221","Apple pectin"
"soup extract (milk)","Buttermilk"
"geotrichum starter cultures","Yeast, bakers, compressed"
"tea","Tea, leaves"
"tahini  (sesame seed paste)","Tahin, sesame paste"
"carrot juice concentrate","Carrot, raw"
"port salut cheese","Cheese, Brie, 45 % fidm."
"capers   brine","Capers"
"blended scotch whisky","Brandy, cognac"
"preservative (potassium metabisulphite).","Apple pectin"
"sodium nitrite (e250).","Apple pectin"
"partially de-alcoholised red wine of tempranillo  abv","Wine, red"
"tragacanth gum (e413)","Apple pectin"
"sunflower  oil","Sunflower oil"
"plain caramel","Chocolate (white)"
"onions - red diced","Onion, raw"
"burger sauce","Sauce, barbeque"
"colture","Apple pectin"
"flavourings (contains egg)","Eggs, chicken, free-range hens (indoor), raw"
"chestnut leaves","Chestnut, raw"
"colour(caramel e150d)","Apple pectin"
"egg albumen","Eggs, chicken, free-range hens (indoor), raw"
"giant chilli corn","Pepper, hot chili, raw"
"preservative (sulphur dioxide)","Apple pectin"
"vegetables - piccalilli","Vegetable fat"
"carrageenan.","Apple pectin"
"sodium guanylate e627","Apple pectin"
"tripolyphosphates","Apple pectin"
"tamarind.","Tamarind"
"west country brie (milk)","Cheese, Brie, 45 % fidm."
"soy protein","Beans, soy, dried, raw"
"crushed chillies","Pepper, hot chili, raw"
"roasted wheat malt flour (gluten)","Wheat, flour, wholemeal"
"textured wheat protein","Wheat, flour, wholemeal"
"modified maize starch. garlic puree","Starch (corn)"
"buffalo milk","Milk, whole, 3.5 % fat"
"pasteurised double cream","Cream, cultured, 18 % fat"
"higher sugars","Sugar, white"
"calcium chloride (e509).","Apple pectin"
"preservative [potassium sorbate].","Apple pectin"
"preserved lemons  (it may contain soya)","Lemon, raw"
"tamari soy sauce","Soy sauce"
"trufflyn goats cheese","Cheese, semihard, Feta, 40 % fidm"
"white sesame seeds","Sesame seeds"
"blueberry yogurt","Blueberries, raw"
"prime rib","Beef, T-bone steak, raw"
"green cocoa butter  *","Cocoa butter"
"pigs blood","Pork, sausage, Danish, raw"
"bath blue cheese (pasteurised cow's milk)","Cheese, Danish Blue, 50 % fidm."
"colour (mixed carotenes).","Apple pectin"
"black bomber - pasteurised cows milk","Cheese, firm, Danbo, 45 % fidm."
"black treacle","Molasses"
"carbonated spring water","Water, bottled, carbonated"
"ricotta cheese. soft wheat flour","Cheese, Brie, 45 % fidm."
"e252.","Apple pectin"
"kupros anglum jersey cows / sheep milk british halloumi","Cheese, semihard, Feta, 40 % fidm"
"gillot camembert (raw milk)","Cheese, Brie, 45 % fidm."
"vanilla flavouring","Vanilla beans"
"finn","Apple pectin"
"caramelised carrot","Carrot, raw"
"oat flour","Wheat, flour, wholemeal"
"thermised buffalo milk","Milk, whole, 3.5 % fat"
"jalapeno green chillies","Jalapenos"
"flavouring .","Apple pectin"
"pickling spice","Spices"
"yeast & mould cultures","Yeast, bakers, compressed"
"cheddar cheese milk.","Cheese, firm, Danbo, 45 % fidm."
"apricots - dried","Apricot, dried"
"pasteurised ewes milk","Goat milk"
"lard used in rind","Butter, salt added"
"stabiliser (e425)","Apple pectin"
"fish sauce {anchovy extract","Anchovies"
"cherry tomato","Tomato, ripe, raw, origin unknown"
"natural mint flavouring","Mint, dried"
"lamb shoulder","Lamb, meat, average values, raw"
"e301; preservative","Apple Pectin"
"microbial cultures","Yeast, bakers, compressed"
"millet seeds","Sesame seeds"
"sunflower kernets","Sunflower seeds"
"enzymes (alpha amylase)","Apple pectin"
"balsamico vinegar","Balsamic vinegar"
"gas","Apple pectin"
"coarse sea salt.","Salt, table"
"sulphite free sherry vinegar","Sherry vinegar"
"colour [paprika extract]","Paprika (powder)"
"malt extract gluten","Barley malt extract"
"carob seed powder and potassium chloride","Apple pectin"
"e500(ii)","Apple pectin"
"iqf dill","Dill, dried"
"microbial rennet trace","Animal fat"
"coloring agent ( e132)(soya lecithin)","Apple pectin"
"french camembert brie","Cheese, Brie, 45 % fidm."
"acidity regulator [citric acid] may contains sulphites","Apple pectin"
"preservative natamycin e235","Apple pectin"
". diphosphates","Apple pectin"
"baron bigot cheese","Cheese, firm, Danbo, 45 % fidm."
"naturally vanilla extract","Vanilla beans"
"antioxidant (e306)","Apple pectin"
"potassium nitrite","Apple pectin"
"ground fennel.","Fennel, root, raw"
"salted black beans","Salt, table"
"whole cows milk enriched with cream","Cream, cultured, 18 % fat"
"jamon serrano","Air-dried meat"
"natural colour (carotenes)","Apple pectin"
"pepper extract.","Pepper, black"
"pork head meat","Pork, liver paste, Danish"
"tunworth (milk)","Milk, whole, 3.5 % fat"
"salt rosemary","Salt, table"
"wild mushroom extract","Mushroom, raw"
"e282. emulsifier","Apple pectin"
"cayanne pepper","Pepper, hot chili, raw"
"capricorn","Paprika (powder)"
"e251","Apple pectin"
"rutland red wheel","Cheese, firm, Danbo, 45 % fidm."
"hulled sesame seeds","Sesame seeds"
"organic cow's cream","Cream, cultured, 18 % fat"
"anti-oxidant- ascorbic acid","Apple pectin"
"sodium carbonate","Baking powder"
"sicilian lemon juice from concentrate","Lemon juice"
"stabiliser (sodium carboxymethyl cellulose)","Baking powder"
"gorgonzola","Cheese, Danish Blue, 50 % fidm."
"chicken breast fillet","Chicken, leg, flesh and skin, raw"
"white asparagus","Asparagus, green, raw"
"tetra sodium di phosphate e450ii.","Apple pectin"
"citric acid dijon.","Apple pectin"
"agar.","Apple pectin"
"e171","Apple pectin"
"normandy cream","Cream, cultured, 18 % fat"
"black tea","Tea, leaves"
"sugar and cane molasses","Molasses"
"red","Apple pectin"
"shorrocks bomb (milk). rosary goat ash","Cheese, firm, Danbo, 45 % fidm."
"(e415)","Apple pectin"
"ascorbic acid (e301)","Apple pectin"
"hungarian paprika","Paprika (powder)"
"blackcurrant infusion","Currant, black, raw"
"grape wine","Wine, red"
"d2","Apple pectin"
"northern blue","Apple pectin"
"e202","Apple pectin"
"whisky flavouring.","Apple pectin"
"minced alaska pollock  (fish)","Saithe (UK), pollock (US), fillet, frozen"
"cr̬me fraiche (milk)","Creme fraiche cheese"
"evo /rapeseed oil blend","Oil, rape seed (no eruca acid)"
"acai puree","Blueberries, raw"
"a","Apple pectin"
"liquid whole egg","Eggs, chicken, free-range hens (indoor), raw"
"streaky bacon","Bacon, frying, raw"
"ascorbic acid (antioxidant)","Apple pectin"
"pepper ht","Pepper, black"
"hydroxypropyl methyl cellulose","Apple pectin"
"organic sunflower kernel grounded","Sunflower oil"
"pasteurised condensed cows milk","Milk, whole, 3.5 % fat"
"brie somerset  (milk)","Cheese, Brie, 45 % fidm."
"thomas hoe red leicester .","Cheese, firm, Danbo, 45 % fidm."
"pasteurised freshly squeezed orange juice","Orange juice"
"e491","Apple pectin"
"salsichon","Sausage, salami"
"black pitted olives","Olives, black, without stones, in brine"
"baby baron bigod","Cheese, Brie, 45 % fidm."
"strawberry yogurt  raspberry yogurt","Raspberry, raw"
"penicillium candidum.","Apple pectin"
"spice extracts","Spices"
"northumberland cheese","Cheese, firm, Danbo, 45 % fidm."
"aronia","Blueberries, raw"
"kaffir lime leaf","Lime juice"
"annatto. cheddar goat qickes","Cheese, firm, Danbo, 45 % fidm."
"tomato powder ), white wine vinegar (white wine vinegar","Sherry vinegar"
"sodium inosinate e631.","Apple pectin"
"fresh pollen","Honey"
"black olive tapenade .","Olive tapenade"
"lactic ferment and refining","Apple pectin"
"sodium bicarbonate & mcp","Baking powder"
"e331.","Apple pectin"
"marzyme vegetarian","Vegetable fat"
"dijon mustard contains","Mustard, yellow, ready made"
"dried onions","Onion, raw"
"vitamin d.","Apple pectin"
"pear preparation","Pear, raw"
"duck legs","Duck, flesh only, raw"
"rapeseeds","Sesame seeds"
"rippening mix","Apple pectin"
"mustard seed husks","Mustard, yellow, ready made"
"arabic gum (e414)","Apple pectin"
"azorubine","Apple pectin"
"egg white originated from chicken eggs","Eggs, chicken, free-range hens (indoor), raw"
"e282. buckwheat flour","Buckwheat flour"
"tomateos","Tomato, ripe, raw, origin unknown"
"grey agaric","Apple pectin"
"xylanase","Apple pectin"
"wildflower honey","Honey"
"calcium citrate. camembert gillot","Cheese, Brie, 45 % fidm."
"soya seeds","Beans, soy, dried, raw"
"sulphur anhydride","Apple pectin"
"some may remain","Apple pectin"
"pork loin","Pork, loin, lean, raw"
"live culture","Yeast, bakers, compressed"
"flavour enhancer (monosodium glutamate e621)","Apple pectin"
"starter cultrure less than","Yeast, bakers, compressed"
"strawberries 15-26mm","Strawberry, raw"
"preservative [lysozyme (e1105)(eggs)]","Apple pectin"
"sicilian lemon juice not from concentrate","Lemon juice"
"emulsifying salts potassium and sodium diphosphate (e450)","Apple pectin"
"fresh ginger","Ginger root, raw"
"preservative  may contain traces of apricot stone","Apricot, dried"
"kalamansi","Lemon, raw"
"penicilium roqueforti","Raclette"
"butler's secret cheddar (milk)","Cheese, firm, Danbo, 45 % fidm."
"nocellara green olives contains","Olives, green, pickled, canned"
"40percent proof alcohol containing  kirsch","Brandy, cognac"
"5","Water, tap, drinking, average values"
"redcurrant juice","Currant, red, raw"
"cream fraiche","Cream, cultured, 18 % fat"
"chicken fat","Bouillon, chicken, prepared"
"acidity regulator (e 330)","Apple pectin"
"roast and ground coffee .","Coffee bean, roasted, ground"
"lemon zest.","Lemon, raw"
"synthetic iron oxide e172","Apple pectin"
"tunworth cheese (pasteurised cow's milk)","Cheese, firm, Danbo, 45 % fidm."
"6","Water, tap, drinking, average values"
"cane molasses}","Molasses"
"cassia cinnamon","Cinnamon"
"spelt wheat","Wheat, flour, wholemeal"
"sodium bicarbonate.","Baking powder"
"apricot preparation","Apricot, dried"
"pork-based protein","Pork, mince, 15-20% fat, raw"
"potassium nitrite (e252)","Apple pectin"
"blackcurrant yogurt","Yogurt plain, whole milk"
"chilli birds eye","Pepper, hot chili, raw"
"wheat flour dried cranberries","Wheat, flour, wholemeal"
"sodium meta-bisulphite","Baking powder"
"ground allspice","Spices"
"fresh chilli","Pepper, hot chili, raw"
"malted","Barley malt extract"
"soya sauce powder","Soy sauce"
"wheat starch.","Starch (wheat)"
"orange fruit from concentrate","Orange, raw"
"bel paese . babybel may contain traces of nuts.","Cheese, firm, Danbo, 45 % fidm."
"tri sodium citrate e331iii","Apple pectin"
"potassium lactate","Apple pectin"
"organic wheat flour","Wheat, flour, wholemeal"
"potassium bicarabonate","Baking powder"
"acidity regulator [acetic acid (e260)]","Apple pectin"
"colours .","Apple pectin"
"medjoul dates. the manufacturer of the dates handles nuts","Dates"
"vintage cheddar cheese (milk)","Cheese, firm, Danbo, 45 % fidm."
"citric acid(e330)","Apple pectin"
"gelling agent (fruit pectin)","Apple pectin"
"half-salted butter (milk)","Butter, salt added"
"penicillium roq","Apple pectin"
"breadsticks","Bread-crumbs"
"damson plum puree","Plum, raw"
"e301 antioxidant","Apple pectin"
"smoked chilli powder","Pepper, hot chili, raw"
"strips of candied orange peel","Orange, raw"
"white chocolate chips","Chocolate (white)"
"pork liver","Pork, liver paste, Danish"
"spices and tabasco brand pepper pulp .","Pepper, black"
"rosemary.","Rosemary, dried"
"jalapeno slices","Jalapenos"
"beetroot powder","Beet, red, raw"
"kibbled chillies ht","Pepper, hot chili, raw"
"cheese seasoning","Cheese, firm, Danbo, 45 % fidm."
"anticaking agent","Apple pectin"
"triphospates (e451)","Apple pectin"
"whole green nocellara olives","Olives, green, pickled, canned"
"emulsifier (sodium tripolyphosphate)","Baking powder"
"polyoxyethylene sorbitan monooleate e433","Apple pectin"
"emulsifying salts  .","Salt, table"
"champignon mushrooms","Mushroom, raw"
"hulled hemp seeds","Sesame seeds"
"de-alcoholised port","Wine, red"
"coronation mayonnaise","Mayonnaise"
"half-candied morello cherry liqueur","Cherry, raw"
"ripening culture","Yeast, bakers, compressed"
"acidity regulator [glucono-delta-lactone (e575)].","Apple pectin"
"perl las blue cheese (cows milk)","Cheese, Danish Blue, 50 % fidm."
"wheat starch (gluten)","Starch (wheat)"
"flavouring and spices","Apple pectin"
"neufchatel cheese (raw cow's milk)","Cheese, firm, Danbo, 45 % fidm."
"preservative (potassium nitrate)","Apple pectin"
"guava","Quince"
"orsom leicester cheese","Cheese, firm, Danbo, 45 % fidm."
"apricot yogurt","Yogurt plain, whole milk"
"raisins contains sulphites","Raisins, seedless"
"chickpea blend","Chickpeas, canned"
"sugur","Sugar, white"
"sugar","Sugar, white"
"pectin","apple pectin"
"beetroot concentrate","Beet, red, raw"
"jalape̱o puree","Jalapenos"
"dried minced summer truffle with flavour","Truffle"
"thickener [hydroxypropyl di-starch phosphate (e1442)]","Apple pectin"
"milk chocolate chips","Chocolate, milk"
"red pepper stuffing","Pepper, sweet, red, raw"
"thickener [guar gum]","Apple pectin"
"blue mould culture 0.01","Yeast, bakers, compressed"
"diced white onions","Onion, raw"
"onion","Onion, raw"
"tomato paste","tomato paste, concentrated"
"coriander","coriander, dried"
"tomato","Tomato, ripe, raw, origin unknown"
"tomato juice","tomato juice, canned"
"butter","Butter, salt added"
"dressing","salad dressing, oil and vinegar"
"starch","starch (corn)"
"fennel","fennel seeds"
"garlic","Garlic, raw"
"sorbic acid (e200)","Apple pectin"
"jalape̱o","Jalapenos"
"preserved lemon mash","Lemon, raw"
"acidity regulator [sodium hydrogen diacetate]","Baking powder"
"animal rennet  culture","Animal fat"
"lemon juice concentrate.","Lemon juice"
"grapefruit extract","Grapefruit, raw"
"firming agent (calcium chloride).","Apple pectin"
"chive flakes","Chives, dried"
"white miso soya bean paste","Beans, soy, dried, raw"
"white wine vinegar  contains white wine vinegar","Sherry vinegar"
"dried apricot","Apricot, dried"
"egg white powder","Eggs, chicken, free-range hens (indoor), raw"
"organic black beans","Black beans"
"chinese five spice premium blend","Spices"
"black pepper powder","Pepper, black"
"hot red peppers","Pepper, hot chili, raw"
"blue penicillium.","Apple pectin"
"chinese leaf","Red oak leaf salad"
"gluten free wholegrain oats","Oats, rolled, not enriched"
"contains calcium","Apple pectin"
"whole fennel seeds ht","Fennel seeds"
"pasteurised organic cow's milk","Milk, whole, 3.5 % fat"
"milk","Milk, whole, 3.5 % fat"
"culture","apple pectin"
"vegetable","vegetables"
"mint","mint, dried"
"cranberry","cranberry, raw"
"sulphite ammonia caramel.","Apple pectin"
"stabiliser (sodium alginate)","Baking powder"
"whey permeate (milk)","Whey powder"
"white wine vinegar contains  preservative [sodium metabisulphite]","Sherry vinegar"
"e420i","Apple pectin"
"acidity regulator citric acid","Apple pectin"
"acidifier (citric acid)","Apple pectin"
"bird's eye chilli","Pepper, hot chili, raw"
"flour (wheat)","Wheat, flour, wholemeal"
"sulphur dioxide.","Apple pectin"
"natural flavouring). stabiliser,  gum arabic (water","Apple pectin"
"juice and passion pulp","Passion fruit"
"flavouring  orange oil","Orange, raw"
"filled into beef collagen casing. unsmoked streaky bacon with added water","Beef, rump, raw"
"smoked chipotle chillies","Pepper, hot chili, raw"
"bactarial culture.","Yeast, bakers, compressed"
"tahini paste  (sesame seeds)","Tahin, sesame paste"
"colour (e161b)","Apple pectin"
"mirin seasoning {glucose syrup","Syrup, kitchen"
"biddenden cider powder.","Cider 4.5%"
"sheep","Goat milk"
"brown mustard seeds","Mustard, yellow, ready made"
"organic aniseed","Anise"
"sorbic acid.","Apple pectin"
"rubbed parsley","Parsley, dried"
"preservative (sodium nitrite).","Baking powder"
"dry yeast","Yeast, bakers, compressed"
"enzyme preparation","Apple pectin"
"white stilton  (milk)","Cheese, Danish Blue, 50 % fidm."
"chipotle chilli","Pepper, hot chili, raw"
"pork gelatine","Gelatin"
"beef suet","Beef, rump, raw"
"natural flavoring","Apple pectin"
"tomato concentrate","Tomato paste, concentrated"
"spice mix .","Spices"
"fennel pollen","Sundried tomatoes"
"semi dried cherry tomatoes","Sundried tomatoes"
"white balsamic vinegar","Balsamic vinegar"
"citrus fibre","Apple pectin"
"raw sheep's milk","Goat milk"
"grape must contains sulphites","Grape, raw"
"preservative (e326)","Apple pectin"
"acidifier citric acid (e330)","Apple pectin"
"organic red peppercorns","Pepper, hot chili, raw"
"raising agent (sodium carbonates)","Baking powder"
"duck lean liver","Duck, flesh only, raw"
"paprika extract. natural antioxidant","Paprika (powder)"
"collagen casing.","Apple pectin"
"ortho-phosphoric acid (e338)","Apple pectin"
"glycerol.","Apple pectin"
"hummus tomato & red pepper","Hummus"
"white truffle flavoring.","Truffle"
"vegetable concentrates .sausages filled into plant based casings.","Vegetable stock"
"icing sugar","Sugar, white"
"light brown soft sugar","Sugar, brown"
"e472e. rapeseed oil","Oil, rape seed (no eruca acid)"
"vegetable carbon","Vegetable fat"
"e472e. soya flour","Beans, soy, dried, raw"
"black cracked pepper","Pepper, black"
"stilton blue","Cheese, Danish Blue, 50 % fidm."
"brine contain","Salt, table"
"reduced fat cheese (milk)","Milk, whole, 3.5 % fat"
"anchovy paste (fish)","Anchovies"
"stuffed  olives","Olives, green, pickled, canned"
"modifeid potato starch","Starch (potato)"
"starter culture  preservative [sodium nitrite (e250)] preservative [potassium nitrate (e252)]","Yeast, bakers, compressed"
"ginger - diced","Ginger root, raw"
"prosociano grated (vegan)","Vegan cheese, grated or sliced"
"miso soybean paste","Beans, soy, dried, raw"
"brine contains water","Water, tap, drinking, average values"
"e461","Apple pectin"
"orange concentrate","Orange, raw"
"amylase","Apple pectin"
"stabiliser (d-sorbitol)","Apple pectin"
"starter culture*","Yeast, bakers, compressed"
"garlic extract","Garlic, raw"
"self raising flour","Wheat, flour, wholemeal"
"ground white","Pepper, black"
"niacin & thiamin","Apple pectin"
"roasted sesame seeds.","Sesame seeds"
"porcini edulis","Apple pectin"
"unpasteurised goats milk","Goat milk"
"barley flakes","Barley groats, raw"
"saltmade with 144g of raw chicken per 100g of finished product.","Salt, table"
"greek olives mix","Olives, green, pickled, canned"
"pasteurised cows skimmed milk","Milk, skimmed, 0.5 % fat"
"hard vegetarian cheese  contains pasteurised cow's milk","Cheese, hard, Parmesan, 32 % fidm."
"balsamic glaze","Balsamic vinegar"
"cenarth brie (milk)","Cheese, Brie, 45 % fidm."
"pateurised cow's milk","Milk, whole, 3.5 % fat"
"potassium chloride","Apple pectin"
"red leicester grated cheese","Cheese, firm, Danbo, 45 % fidm."
"colour (plain caramel)","Apple pectin"
"roasted red pepper","Pepper, sweet, red, raw"
"bacteria cultures","Yeast, bakers, compressed"
"red cherry peppers","Pepper, sweet, red, raw"
"meat coppa","Meat balls, average values"
"goats curd (pasteurised goats milk and cream)","Goat milk"
"lysozyme.","Apple pectin"
"shea oil","Oil, rape seed (no eruca acid)"
"five spice","Spices"
"vegetable ash","Vegetable fat"
"chicory extract","Chicory"
"bergamot","Orange, raw"
"ginger strips  61","Ginger root, raw"
"malted crunchy cereals","Barley malt extract"
"lactase enzyme","Apple pectin"
"vegetable oils and fats","Oil, rape seed (no eruca acid)"
"thiamin (b1)","Apple pectin"
"liquid sugar","Sugar, white"
"stabiliser [xanthan gum]","Apple pectin"
"acidity regulator (ascorbic acid e300)","Apple pectin"
"iberian pork meat","Air-dried meat"
